0	15414	15561	15571	15572	15573	
1	15410	15562	15566	15570	15568	
2	15399	15566	15567	15570	15568	
3	15399	15568	15572	15568	15569	
4	15408	15564	15566	15566	15571	
5	15417	15564	15567	15565	15570	
6	15416	15566	15570	15565	15571	
7	15416	15565	15572	15565	15571	
8	15398	15567	15569	15566	15567	
9	15417	15566	15570	15565	15568	
10	15401	15564	15570	15567	15572	
11	15404	15566	15569	15562	15570	
12	15416	15563	15571	15566	15569	
13	15403	15566	15568	15568	15572	
14	15410	15564	15567	15567	15574	
15	15393	15565	15569	15562	15569	
16	15405	15565	15570	15570	15567	
17	15410	15560	15567	15567	15568	
18	15408	15558	15571	15566	15574	
19	15416	15563	15568	15568	15570	
20	15409	15566	15571	15564	15568	
21	15409	15561	15574	15567	15576	
22	15408	15564	15569	15563	15565	
23	15411	15563	15571	15565	15573	
24	15423	15565	15567	15567	15572	
25	15404	15567	15568	15569	15567	
26	15405	15560	15573	15564	15571	
27	15415	15562	15573	15568	15571	
28	15415	15561	15569	15567	15570	
29	15410	15563	15572	15567	15567	
30	15421	15562	15570	15567	15572	
31	15413	15564	15570	15565	15569	
32	15410	15562	15571	15567	15573	
33	15414	15562	15567	15565	15568	
34	15408	15563	15566	15567	15566	
35	15408	15564	15572	15569	15567	
36	15404	15564	15566	15570	15567	
37	15409	15561	15568	15569	15570	
38	15415	15566	15571	15562	15565	
39	15399	15559	15567	15570	15570	
40	15400	15567	15567	15567	15569	
41	15412	15563	15573	15569	15569	
42	15410	15563	15570	15567	15572	
43	15408	15563	15567	15567	15566	
44	15411	15563	15567	15567	15573	
45	15414	15565	15569	15570	15570	
46	15410	15564	15567	15570	15571	
47	15407	15565	15569	15566	15569	
48	15427	15564	15569	15570	15572	
49	15403	15560	15569	15568	15570	
50	15398	15560	15564	15562	15572	
51	15404	15559	15570	15567	15571	
52	15412	15563	15569	15568	15572	
53	15408	15561	15572	15563	15570	
54	15410	15564	15571	15570	15571	
55	15405	15565	15567	15569	15570	
56	15404	15559	15571	15566	15575	
57	15409	15565	15569	15565	15574	
58	15419	15564	15573	15567	15569	
59	15414	15564	15565	15565	15567	
60	15406	15566	15569	15563	15568	
61	15419	15561	15573	15564	15573	
62	15411	15560	15569	15563	15572	
63	15412	15558	15570	15571	15568	
64	15403	15562	15574	15568	15568	
65	15409	15563	15570	15564	15573	
66	15410	15565	15568	15566	15570	
67	15418	15566	15567	15564	15567	
68	15409	15562	15570	15571	15575	
69	15411	15565	15571	15568	15566	
70	15421	15567	15571	15570	15576	
71	15409	15560	15569	15566	15576	
72	15406	15563	15568	15565	15572	
73	15411	15563	15571	15566	15570	
74	15404	15562	15569	15568	15564	
75	15420	15562	15567	15568	15571	
76	15405	15562	15569	15568	15572	
77	15409	15561	15570	15566	15570	
78	15409	15564	15568	15567	15572	
79	15411	15561	15575	15566	15567	
80	15417	15564	15569	15562	15568	
81	15424	15560	15570	15562	15568	
82	15419	15564	15572	15570	15567	
83	15417	15564	15568	15568	15572	
84	15415	15567	15569	15570	15570	
85	15413	15563	15572	15562	15572	
86	15415	15563	15571	15569	15571	
87	15420	15561	15572	15566	15572	
88	15410	15563	15569	15573	15566	
89	15412	15558	15570	15564	15568	
90	15415	15565	15571	15564	15574	
91	15406	15565	15573	15569	15571	
92	15405	15565	15568	15564	15568	
93	15420	15562	15571	15565	15564	
94	15416	15563	15569	15569	15570	
95	15425	15561	15571	15570	15570	
96	15424	15564	15572	15569	15568	
97	15405	15558	15572	15568	15573	
98	15411	15561	15571	15564	15570	
99	15410	15560	15569	15562	15566	
100	15412	15568	15569	15570	15568	
101	15410	15564	15570	15566	15569	
102	15406	15565	15569	15566	15569	
103	15422	15557	15572	15566	15571	
104	15412	15562	15569	15570	15567	
105	15413	15564	15567	15565	15573	
106	15405	15558	15571	15566	15570	
107	15406	15558	15569	15568	15570	
108	15409	15560	15569	15571	15573	
109	15394	15559	15573	15569	15568	
110	15399	15564	15574	15567	15573	
111	15403	15561	15572	15563	15567	
112	15409	15559	15570	15568	15566	
113	15400	15565	15568	15570	15574	
114	15413	15560	15566	15568	15568	
115	15393	15561	15571	15565	15571	
116	15405	15567	15571	15563	15571	
117	15406	15563	15569	15563	15566	
118	15408	15562	15571	15567	15568	
119	15411	15567	15568	15567	15568	
120	15412	15562	15569	15569	15568	
121	15418	15563	15571	15563	15567	
122	15417	15561	15571	15566	15568	
123	15416	15560	15571	15564	15569	
124	15428	15566	15567	15567	15573	
125	15424	15561	15574	15568	15565	
126	15421	15564	15571	15571	15565	
127	15427	15562	15569	15563	15572	
128	15429	15565	15569	15573	15574	
129	15440	15561	15568	15566	15571	
130	15431	15560	15573	15566	15566	
131	15433	15561	15570	15568	15569	
132	15417	15567	15565	15569	15569	
133	15427	15567	15568	15565	15569	
134	15427	15561	15569	15567	15567	
135	15408	15562	15569	15564	15570	
136	15409	15559	15566	15572	15571	
137	15422	15562	15562	15566	15567	
138	15406	15561	15571	15569	15573	
139	15410	15567	15573	15568	15571	
140	15410	15561	15571	15566	15574	
141	15416	15561	15568	15568	15567	
142	15412	15558	15572	15558	15572	
143	15404	15562	15567	15566	15569	
144	15406	15563	15569	15564	15569	
145	15427	15564	15570	15562	15569	
146	15412	15565	15570	15570	15565	
147	15420	15563	15570	15568	15570	
148	15433	15560	15570	15567	15566	
149	15427	15563	15571	15564	15569	
150	15413	15566	15567	15568	15567	
151	15414	15567	15568	15566	15570	
152	15414	15562	15567	15568	15569	
153	15419	15559	15568	15566	15573	
154	15422	15562	15570	15565	15563	
155	15425	15563	15567	15567	15573	
156	15423	15562	15571	15566	15569	
157	15419	15564	15570	15570	15570	
158	15430	15569	15573	15562	15570	
159	15423	15565	15567	15571	15567	
160	15415	15563	15565	15567	15569	
161	15426	15562	15563	15562	15567	
162	15425	15563	15573	15566	15570	
163	15415	15564	15563	15568	15571	
164	15416	15564	15569	15564	15572	
165	15411	15565	15573	15564	15566	
166	15423	15565	15571	15566	15570	
167	15423	15563	15570	15568	15569	
168	15422	15566	15570	15567	15572	
169	15417	15561	15567	15566	15570	
170	15414	15563	15569	15564	15572	
171	15417	15562	15566	15567	15567	
172	15416	15568	15569	15567	15573	
173	15405	15561	15572	15566	15567	
174	15420	15564	15571	15571	15571	
175	15416	15560	15567	15565	15570	
176	15408	15564	15567	15566	15572	
177	15424	15562	15568	15569	15571	
178	15413	15564	15570	15564	15571	
179	15411	15561	15570	15568	15569	
180	15412	15567	15569	15561	15572	
181	15418	15563	15572	15569	15574	
182	15421	15563	15574	15567	15569	
183	15403	15561	15572	15564	15574	
184	15409	15569	15570	15569	15573	
185	15401	15565	15573	15568	15570	
186	15405	15562	15566	15564	15572	
187	15409	15565	15572	15568	15572	
188	15410	15561	15572	15564	15569	
189	15408	15563	15570	15565	15574	
190	15404	15566	15567	15564	15571	
191	15406	15563	15569	15564	15573	
192	15406	15565	15570	15567	15568	
193	15399	15563	15569	15566	15575	
194	15402	15558	15568	15568	15570	
195	15403	15566	15570	15566	15570	
196	15405	15560	15573	15563	15567	
197	15404	15559	15569	15564	15569	
198	15396	15564	15572	15570	15570	
199	15395	15559	15570	15567	15570	
200	15402	15567	15567	15566	15570	
201	15402	15559	15572	15567	15570	
202	15399	15562	15570	15567	15572	
203	15406	15561	15568	15563	15567	
204	15413	15565	15567	15568	15566	
205	15411	15561	15570	15568	15568	
206	15405	15559	15568	15568	15571	
207	15400	15566	15568	15572	15569	
208	15410	15562	15573	15568	15572	
209	15403	15563	15571	15565	15574	
210	15409	15562	15571	15567	15574	
211	15412	15563	15570	15563	15571	
212	15405	15559	15570	15572	15570	
213	15408	15560	15572	15562	15571	
214	15401	15564	15570	15568	15569	
215	15401	15560	15576	15571	15571	
216	15397	15567	15572	15563	15569	
217	15403	15564	15569	15570	15569	
218	15396	15564	15574	15571	15573	
219	15394	15563	15567	15568	15569	
220	15400	15566	15568	15565	15571	
